episode,reward,length,epsilon
505,-127.23328002398372,169,0.03884035794936065
506,-289.6542179092612,125,0.03882093777038597
507,-111.22389815555978,92,0.03880152730150078
508,-70.9416239605142,129,0.03878212653785003
509,-312.5873195710629,156,0.0387627354745811
510,-277.2444103634935,101,0.03874335410684381
511,-30.575319158668435,174,0.038723982429790395
512,-168.78143429715033,146,0.038704620438575504
513,-420.328794085421,121,0.038685268128356216
514,-142.04722869527166,149,0.03866592549429204
515,-96.32397298632465,138,0.0386465925315449
516,-86.06787674258527,77,0.03862726923527913
517,-211.3126426621138,145,0.03860795560066149
518,-447.30245544224493,175,0.03858865162286116
519,-208.05421293139267,190,0.03856935729704973
520,-82.54429920107691,160,0.03855007261840121
521,-197.70095548646373,208,0.03853079758209201
522,-343.05437544743694,112,0.038511532183300966
523,-95.3294917291272,87,0.038492276417209315
524,-288.84945593904604,151,0.03847303027900071
525,-130.43903569068914,108,0.03845379376386121
526,-354.5053665857407,93,0.03843456686697928
527,-477.8900123037538,146,0.038415349583545796
528,-283.816748166353,124,0.038396141908754025
529,-122.51306683775844,134,0.03837694383779965
530,-402.8573264108637,125,0.03835775536588076
531,-267.081440824172,166,0.03833857648819782
532,-214.64991142528345,193,0.03831940719995373
533,-276.8151096684737,132,0.03830024749635375
534,-322.50798147232234,118,0.03828109737260558
535,-351.0233255034607,128,0.03826195682391928
536,-123.20103456034487,153,0.038242825845507325
537,-152.12584601419977,137,0.038223704432584577
538,-367.2242153497675,104,0.038204592580368284
539,-80.69678933718745,144,0.038185490284078104
540,-132.24306080819272,149,0.03816639753893607
541,-318.41189505487205,108,0.0381473143401666
542,-178.70265057328245,199,0.038128240682996514
543,-125.66812432587159,144,0.03810917656265502
544,-334.6445607355654,106,0.0380901219743737
545,-92.18180321585109,92,0.038071076913386515
546,-87.23279927646726,85,0.038052041374929825
547,-243.97769327837827,110,0.03803301535424236
548,-97.03218268697913,83,0.03801399884656524
549,-83.59837453992117,130,0.03799499184714196
550,-151.1310862549831,99,0.037975994351218394
551,49.03225170356109,241,0.03795700635404279
552,-113.11693050450337,145,0.03793802785086577
553,-211.8181236582936,163,0.03791905883694034
554,-174.37959024727846,167,0.037900099307521876
555,-242.28754962846722,155,0.03788114925786812
556,-297.2079375849137,137,0.03786220868323919
557,-92.7814496526268,118,0.03784327757889757
558,-383.4158658366847,115,0.03782435594010812
559,-293.02724480604786,143,0.03780544376213807
560,-277.39620345734517,107,0.037786541040257
561,-151.7044947280461,178,0.03776764776973687
562,-38.98322797694358,99,0.037748763945852006
563,-62.689232109302715,123,0.037729889563879085
564,-279.08405429687764,155,0.037711024619097144
565,-53.54748661155466,158,0.0376921691067876
566,-389.2596625746829,164,0.0376733230222342
567,-74.10742765451947,192,0.037654486360723084
568,-390.78259761925807,152,0.03763565911754273
569,-25.979597310470936,128,0.03761684128798396
570,-261.30570146894087,120,0.037598032867339974
571,-168.66993839695147,64,0.03757923385090631
572,-80.73761018346977,144,0.037560444233980854
573,-86.38308345208011,165,0.037541664011863866
574,-322.32513524460177,121,0.037522893179857936
575,-109.26598111720627,135,0.03750413173326801
576,-402.07068024824974,204,0.03748537966740138
577,-452.34094644988556,124,0.037466636977567684
578,-251.19177282735006,118,0.0374479036590789
579,-284.01510838353227,108,0.03742917970724936
580,-195.12832004719752,167,0.03741046511739574
581,-317.92224587661417,114,0.03739175988483705
582,-262.6668631130916,100,0.03737306400489463
583,-281.4548059823625,197,0.037354377472892185
584,-272.06518462052355,195,0.03733570028415574
585,-260.24921626657044,142,0.037317032434013665
586,-63.619090602173735,143,0.03729837391779666
587,-380.85149367345946,116,0.037279724730837766
588,-101.30329392981018,167,0.03726108486847235
589,-249.71926281641683,122,0.037242454326038114
590,-99.88004001028077,127,0.0372238330988751
591,-280.9352047714225,243,0.037205221182325665
592,-209.59885424886636,109,0.037186618571734505
593,-297.32784478029754,122,0.03716802526244864
594,-184.1358302277554,149,0.037149441249817415
595,-250.34452692497894,136,0.03713086652919251
596,-187.75589576380634,72,0.03711230109592791
597,-424.5209781758159,153,0.03709374494537995
598,-181.69168593996363,146,0.03707519807290727
599,-235.83955169785304,155,0.037056660473870816
600,-29.661253333799607,72,0.037038132143633884
601,-376.83771791930974,111,0.03701961307756207
602,-381.94136584673845,107,0.03700110327102329
603,-403.9045579380039,116,0.036982602719387775
604,-327.7672463299819,107,0.036964111418028085
605,-298.61094056133265,110,0.03694562936231907
606,-232.76527990293428,153,0.03692715654763792
607,-116.24649930845735,153,0.0369086929693641
608,-131.2641606006443,133,0.03689023862287942
609,-142.55232505064703,228,0.036871793503567986
610,-432.96758351013665,136,0.036853357606816205
611,-149.50608124816011,138,0.0368349309280128
612,-56.2615044187984,65,0.03681651346254879
613,-67.5858648727532,140,0.03679810520581752
614,-279.1485132913922,151,0.03677970615321462
615,-308.8560138440512,133,0.036761316300138014
616,-293.6773749138515,167,0.036742935641987946
617,-239.57729876106345,154,0.03672456417416695
